ID,Call Failure,Complains,Charge Amount,Freq. of use,Freq. of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
415,4,no,20,27,483,8,3,pre-paid,active,30,2056.88,yes
416,9,no,200,182,150,30,2,pre-paid,active,25,1380.015,yes
417,3,no,50,86,186,26,3,pre-paid,active,30,1007.44,yes
418,0,no,100,14,0,11,2,pre-paid,not-active,25,40.005,yes
419,2,no,100,14,13,8,3,pre-paid,not-active,30,80.96,yes
420,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
421,3,no,50,127,384,43,2,pre-paid,active,25,2071.575,yes
422,7,no,50,154,11,47,4,pre-paid,active,45,317.975,yes
423,8,no,200,75,108,37,2,pre-paid,active,25,791.685,yes
424,23,yes,100,47,16,17,2,pre-paid,not-active,25,117.09,no
425,21,no,100,93,1,42,5,pre-paid,active,55,159.42,yes
426,13,yes,200,98,26,24,2,pre-paid,active,25,383.22,no
427,1,no,50,22,0,14,3,pre-paid,active,30,114.48,yes
428,9,no,100,41,9,16,3,pre-paid,not-active,30,157.24,no
429,9,no,100,44,34,31,3,pre-paid,not-active,30,228.48,no
430,0,no,400,2,0,2,3,pre-paid,not-active,30,5.4,no
431,1,no,20,25,0,6,3,pre-paid,active,30,67.72,yes
432,3,no,50,97,14,22,5,pre-paid,active,55,124.23,yes
433,0,no,200,7,9,4,4,pre-paid,not-active,45,38.375,no
434,0,no,100,4,4,2,5,pre-paid,active,55,11.13,yes
435,25,yes,50,238,0,80,2,pre-paid,active,25,734.085,yes
436,6,no,100,116,271,33,2,post-paid,active,25,1538.145,yes
437,2,no,100,82,2,28,2,pre-paid,active,25,180,yes
438,3,no,100,44,38,20,3,pre-paid,not-active,30,220.36,yes
439,6,no,100,53,175,23,2,pre-paid,active,25,914.985,yes
440,4,no,400,36,193,11,2,post-paid,active,25,929.295,yes
441,4,no,100,39,30,68,4,pre-paid,active,45,115.175,yes
442,11,no,100,25,10,7,2,pre-paid,not-active,25,77.625,yes
443,0,no,200,10,21,3,4,pre-paid,not-active,45,73.375,yes
444,10,no,100,32,19,13,2,pre-paid,active,25,142.065,yes
445,2,no,50,61,8,23,3,pre-paid,active,30,163.44,yes
446,2,no,100,26,28,14,2,pre-paid,active,25,203.445,yes
447,16,no,100,141,85,42,2,post-paid,active,25,676.485,yes
448,12,no,100,171,73,40,4,pre-paid,active,45,410.075,yes
449,8,no,50,45,31,19,3,pre-paid,active,30,239.88,yes
450,2,no,400,40,215,10,3,pre-paid,active,30,1037.2,yes
451,3,yes,50,19,0,7,3,pre-paid,active,30,60.24,no
452,3,no,100,65,0,15,2,pre-paid,active,25,185.85,yes
453,0,no,200,0,0,0,2,pre-paid,not-active,25,0,yes
454,5,no,100,54,352,22,2,pre-paid,active,25,1683.09,yes
455,5,no,100,60,0,33,1,pre-paid,active,15,217.415,yes
456,0,no,100,52,0,31,1,pre-paid,active,15,117.7,yes
457,6,no,100,76,25,26,2,pre-paid,active,25,272.07,yes
458,0,no,100,33,278,16,3,pre-paid,active,30,1195.52,yes
459,8,no,50,115,137,41,3,pre-paid,active,30,905,yes
460,2,no,400,163,0,42,3,pre-paid,active,30,545.24,yes
461,2,no,100,77,0,23,3,pre-paid,active,30,171.48,yes
462,1,no,50,89,0,10,2,pre-paid,active,25,256.59,yes
463,4,no,200,48,1,15,3,pre-paid,not-active,30,83.24,yes
464,20,no,100,219,47,30,3,pre-paid,active,30,790.16,yes
465,0,no,50,21,476,6,3,pre-paid,active,30,2016.44,yes
466,4,no,200,176,143,28,2,pre-paid,active,25,1334.52,yes
467,0,no,50,80,179,24,3,pre-paid,active,30,967,yes
468,0,no,100,8,0,9,2,pre-paid,not-active,25,26.01,yes
469,0,no,100,8,6,6,2,pre-paid,not-active,25,45.585,yes
470,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
471,0,no,20,121,377,41,2,pre-paid,active,25,2026.08,yes
472,2,no,50,148,4,45,3,pre-paid,active,30,468.32,yes
473,3,no,200,69,101,35,2,pre-paid,active,25,746.19,yes
474,18,no,100,41,9,15,2,pre-paid,not-active,25,71.595,no
475,16,no,50,87,0,40,4,pre-paid,active,45,255.425,yes
476,8,yes,100,92,19,22,2,pre-paid,active,25,337.725,no
477,0,no,100,16,0,12,3,pre-paid,active,30,102.04,yes
478,4,no,100,35,2,14,2,pre-paid,not-active,25,131.4,no
479,4,no,100,38,27,29,3,pre-paid,not-active,30,188.04,no
480,0,yes,400,0,0,0,3,pre-paid,not-active,30,0,no
481,0,no,20,19,0,4,3,pre-paid,active,30,55.28,yes
482,0,no,50,91,7,20,4,pre-paid,active,45,181.775,yes
483,0,no,200,1,2,2,4,pre-paid,not-active,45,13.1,no
484,0,no,100,0,0,0,5,pre-paid,active,55,0,yes
485,20,no,100,232,0,78,2,pre-paid,active,25,720.09,yes
486,1,no,100,110,264,31,2,post-paid,active,25,1492.65,yes
487,0,no,50,76,0,26,2,pre-paid,active,25,157.005,yes
488,0,no,100,38,31,18,3,pre-paid,not-active,30,179.92,yes
489,1,no,100,47,168,21,2,pre-paid,active,25,869.49,yes
490,0,yes,400,30,186,9,2,post-paid,active,25,883.8,no
491,0,no,100,33,23,66,4,pre-paid,active,45,89.9,yes
492,6,no,100,19,3,5,2,pre-paid,not-active,25,32.13,yes
493,0,no,200,4,14,1,4,pre-paid,not-active,45,48.1,yes
494,5,no,100,26,12,11,2,pre-paid,active,25,96.57,yes
495,0,no,100,55,1,21,3,pre-paid,active,30,123,yes
496,0,no,100,20,21,12,2,pre-paid,active,25,157.95,yes
497,11,no,100,135,78,40,1,post-paid,active,15,771.265,yes
498,7,no,100,165,66,38,4,pre-paid,active,45,384.825,yes
499,3,no,50,39,24,17,3,pre-paid,active,30,199.48,yes
500,0,no,400,34,208,8,3,pre-paid,active,30,996.76,yes
501,0,yes,20,13,0,5,2,pre-paid,not-active,25,53.82,no
502,6,no,50,68,3,17,2,pre-paid,active,25,202.185,yes
503,0,no,200,2,5,4,2,pre-paid,active,25,25.875,yes
504,8,no,100,57,357,24,2,pre-paid,active,25,1708.425,yes
505,8,no,100,63,0,35,1,pre-paid,active,15,220.88,yes
506,1,no,100,55,0,33,1,pre-paid,active,15,121.165,yes
507,9,no,50,79,30,28,3,pre-paid,active,30,264.36,yes
508,2,no,100,36,283,18,3,pre-paid,active,30,1218.04,yes
509,11,no,50,118,142,43,3,pre-paid,active,30,927.52,yes
510,5,no,400,166,0,44,3,pre-paid,active,30,547.76,yes
511,5,no,50,80,0,25,3,pre-paid,active,30,174,yes
512,4,no,100,92,5,12,2,pre-paid,active,25,281.925,yes
513,7,no,200,51,6,17,3,pre-paid,active,30,105.76,yes
514,23,no,100,222,52,32,3,pre-paid,active,30,812.68,yes
515,2,no,100,24,481,8,3,pre-paid,active,30,2038.96,yes
516,7,no,200,179,148,30,2,pre-paid,active,25,1359.855,yes
517,1,no,100,83,184,26,3,pre-paid,active,30,989.52,yes
518,0,no,100,11,0,11,2,pre-paid,active,25,28.845,yes
519,0,no,100,11,11,8,2,pre-paid,active,25,70.92,yes
520,0,no,400,0,0,0,2,pre-paid,active,25,0,no
521,1,no,100,124,382,43,2,pre-paid,active,25,2051.415,yes
522,5,no,100,151,9,47,3,pre-paid,active,30,490.84,yes
523,6,no,200,72,106,37,2,pre-paid,active,25,771.525,yes
524,21,yes,100,44,14,17,2,pre-paid,active,25,96.93,no
525,19,no,50,90,0,42,4,pre-paid,active,45,257,yes
526,11,yes,100,95,24,24,2,pre-paid,active,25,363.06,no
527,0,no,50,19,0,14,3,pre-paid,active,30,104.56,yes
528,7,no,100,38,7,16,3,pre-paid,active,30,139.32,no
529,7,yes,50,41,32,31,3,pre-paid,active,30,210.56,no
530,0,no,400,0,0,0,3,pre-paid,active,30,0,no
531,0,no,100,22,0,6,3,pre-paid,active,30,57.8,yes
532,1,no,100,94,12,22,4,pre-paid,active,45,195.85,yes
533,0,no,200,4,7,4,4,pre-paid,active,45,27.175,no
534,0,no,100,1,2,2,5,pre-paid,active,55,4.41,yes
535,23,no,50,235,0,80,2,pre-paid,active,25,722.925,yes
536,4,no,200,113,269,33,2,post-paid,active,25,1517.985,yes
537,0,no,100,79,0,28,2,pre-paid,active,25,159.84,yes
538,1,no,100,41,36,20,3,pre-paid,active,30,202.44,yes
539,4,no,50,50,173,23,2,pre-paid,active,25,894.825,yes
540,2,yes,400,33,191,11,2,post-paid,active,25,909.135,yes
541,2,no,50,36,28,68,4,pre-paid,active,45,103.975,yes
542,9,no,50,22,8,7,2,pre-paid,active,25,57.465,yes
543,0,no,200,7,19,3,4,pre-paid,active,45,62.175,yes
544,8,no,100,29,17,13,2,pre-paid,active,25,121.905,yes
545,0,no,50,58,6,23,3,pre-paid,active,30,145.52,yes
546,0,no,100,23,26,14,2,pre-paid,active,25,183.285,yes
547,14,yes,100,138,83,42,1,post-paid,active,15,802.23,yes
548,10,no,100,168,71,40,4,pre-paid,active,45,398.9,yes
549,6,no,100,42,29,19,3,pre-paid,active,30,222,yes
550,0,no,400,37,213,10,3,pre-paid,active,30,1019.28,yes
551,1,yes,50,16,0,7,3,pre-paid,active,30,50.36,no
552,0,no,100,62,0,13,2,pre-paid,active,25,183.015,yes
553,0,no,200,0,0,0,2,pre-paid,not-active,25,0,yes
554,2,no,100,51,347,20,2,pre-paid,active,25,1657.755,yes
555,2,no,20,57,0,31,2,pre-paid,active,25,175.05,yes
556,0,no,200,49,0,29,1,pre-paid,active,15,114.235,yes
557,3,no,100,73,20,24,2,pre-paid,active,25,246.735,yes
558,0,no,100,30,273,14,3,pre-paid,active,30,1173,yes
559,5,no,100,112,132,39,3,pre-paid,active,30,882.48,yes
560,0,no,400,160,0,40,3,pre-paid,active,30,542.72,yes
561,0,no,20,74,0,21,3,pre-paid,active,30,168.96,yes
562,0,no,100,86,0,8,2,pre-paid,active,25,253.755,yes
563,1,no,200,45,0,13,3,pre-paid,not-active,30,76.72,yes
564,17,no,100,216,42,28,2,pre-paid,active,25,863.595,yes
565,0,no,100,18,471,4,3,pre-paid,active,30,1993.92,yes
566,1,no,200,173,138,26,2,pre-paid,active,25,1309.185,yes
567,0,no,50,77,174,22,3,pre-paid,active,30,944.48,yes
568,0,no,100,5,0,7,2,pre-paid,not-active,25,23.175,yes
569,0,no,100,5,1,4,2,pre-paid,not-active,25,20.25,yes
570,0,no,400,0,0,0,2,pre-paid,not-active,25,0,no
571,0,no,20,118,372,39,2,pre-paid,active,25,2000.745,yes
572,0,no,50,145,0,43,3,pre-paid,active,30,449.8,yes
573,0,no,200,66,96,33,2,pre-paid,active,25,720.855,yes
574,15,no,100,38,4,13,2,pre-paid,not-active,25,46.26,no
575,13,no,50,84,0,38,4,pre-paid,active,45,253.85,yes
576,5,yes,100,89,14,20,2,pre-paid,active,25,312.39,no
577,0,no,50,13,0,10,3,pre-paid,active,30,99.52,yes
578,1,yes,100,32,0,12,2,pre-paid,not-active,25,119.565,no
579,1,no,50,35,22,27,3,pre-paid,not-active,30,165.52,no
580,0,yes,400,0,0,0,2,pre-paid,not-active,25,0,no
581,0,no,50,16,0,2,3,pre-paid,active,30,52.76,yes
582,0,no,100,88,2,18,4,pre-paid,active,45,167.7,yes
583,0,no,200,1,0,1,3,pre-paid,not-active,30,10.56,no
584,0,no,100,0,0,0,4,pre-paid,active,45,0,yes
585,17,no,50,229,0,76,2,pre-paid,active,25,717.255,yes
586,0,no,200,107,259,29,2,post-paid,active,25,1467.315,yes
587,0,no,50,73,0,24,2,pre-paid,active,25,154.17,yes
588,0,no,100,35,26,16,3,pre-paid,not-active,30,157.4,yes
589,0,no,100,44,163,19,2,pre-paid,active,25,844.155,yes
590,0,no,400,27,181,7,2,post-paid,active,25,858.465,yes
591,0,no,100,30,18,64,4,pre-paid,active,45,75.825,yes
592,3,no,50,16,0,3,2,pre-paid,not-active,25,15.795,yes
593,0,no,200,0,9,0,4,pre-paid,not-active,45,22.5,yes
594,2,no,100,23,7,9,2,pre-paid,active,25,71.235,yes
595,0,no,50,52,0,19,3,pre-paid,active,30,116.48,yes
596,0,no,100,17,16,10,2,pre-paid,active,25,132.615,yes
597,8,no,100,132,73,38,1,post-paid,active,15,740.3,yes
598,4,no,100,162,61,36,4,pre-paid,active,45,370.75,yes
599,0,no,50,36,19,15,3,pre-paid,active,30,176.96,yes
600,0,no,400,12,0,2,2,pre-paid,active,25,45.18,no
601,1,no,50,59,0,14,2,pre-paid,active,25,185.58,yes
602,0,no,100,0,0,0,2,pre-paid,not-active,25,0,yes
603,3,no,200,48,344,21,2,pre-paid,active,25,1646.82,yes
604,3,no,100,54,0,32,1,pre-paid,active,15,217.085,yes
605,0,no,100,46,0,30,1,pre-paid,active,15,117.37,yes
606,4,no,100,70,17,25,2,pre-paid,active,25,235.8,yes
607,0,no,100,27,270,15,3,pre-paid,active,30,1163.28,yes
608,6,no,100,109,129,40,3,pre-paid,active,30,872.76,yes
609,0,no,100,157,0,41,3,pre-paid,active,30,545,yes
610,0,no,400,71,0,22,3,pre-paid,active,30,171.24,yes
611,0,no,20,83,0,9,2,pre-paid,active,25,256.32,yes
612,2,no,50,42,0,14,3,pre-paid,not-active,30,79,yes
613,18,no,200,213,39,29,2,pre-paid,active,25,852.66,yes
614,0,no,100,15,468,5,3,pre-paid,active,30,1984.2,yes
615,2,no,50,170,135,27,2,pre-paid,active,25,1298.25,yes
616,0,no,200,74,171,23,3,pre-paid,active,30,934.76,yes
617,0,no,50,2,0,8,2,pre-paid,not-active,25,25.74,yes
618,0,no,100,2,0,5,2,pre-paid,not-active,25,18.315,yes
619,0,no,100,0,0,0,2,pre-paid,not-active,25,0,no
620,0,no,400,115,369,40,2,pre-paid,active,25,1989.81,yes
621,0,no,50,142,0,44,3,pre-paid,active,30,452.08,yes
622,1,no,100,63,93,34,2,pre-paid,active,25,709.92,yes
623,16,no,200,35,1,14,2,pre-paid,not-active,25,35.325,no
624,14,no,100,81,0,39,4,pre-paid,active,45,255.275,yes
625,6,no,100,86,11,21,2,pre-paid,active,25,301.455,no
626,0,no,100,10,0,11,3,pre-paid,active,30,101.8,yes
627,2,no,100,29,0,13,2,pre-paid,not-active,25,122.13,no
628,2,no,100,32,19,28,3,pre-paid,not-active,30,155.8,no
629,0,no,50,0,0,0,2,pre-paid,not-active,25,0,no
630,0,no,400,13,0,3,3,pre-paid,active,30,55.04,yes
631,0,no,50,85,0,19,4,pre-paid,active,45,164.125,yes
632,0,no,100,0,0,0,3,pre-paid,not-active,30,0,no
633,0,no,200,0,0,0,4,pre-paid,active,45,0,yes
634,18,no,100,226,0,77,2,pre-paid,active,25,719.82,yes
635,0,no,50,104,256,30,2,post-paid,active,25,1456.38,yes
636,0,no,200,70,0,25,2,pre-paid,active,25,156.735,yes
637,0,no,20,32,23,17,3,pre-paid,not-active,30,147.68,yes
638,0,no,100,41,160,20,2,pre-paid,active,25,833.22,yes
639,0,no,100,24,178,8,2,post-paid,active,25,847.53,yes
640,0,no,400,27,15,65,4,pre-paid,active,45,69.75,yes
641,4,no,20,13,0,4,2,pre-paid,not-active,25,18.36,yes
642,0,no,100,4,6,2,4,pre-paid,not-active,45,28.1,yes
643,3,no,200,20,4,10,1,pre-paid,active,15,73.7,yes
644,0,no,100,49,0,20,3,pre-paid,active,30,118.76,yes
645,0,no,50,14,13,11,2,pre-paid,active,25,121.68,yes
646,9,no,200,129,70,39,1,post-paid,active,15,726.88,yes
647,5,no,100,159,58,37,4,pre-paid,active,45,364.65,yes
648,1,no,100,33,16,16,3,pre-paid,active,30,167.2,yes
649,0,no,100,28,200,7,2,pre-paid,active,25,1085.085,yes
650,0,no,400,7,0,4,2,pre-paid,active,25,53.505,no
651,5,no,50,71,6,16,3,pre-paid,active,30,189.44,yes
652,0,no,100,5,8,3,3,pre-paid,not-active,30,32.72,yes
653,7,no,200,60,360,23,3,pre-paid,active,30,1528.32,yes
654,7,no,100,66,2,34,1,pre-paid,active,15,228.745,yes
655,0,no,100,58,3,32,2,pre-paid,active,25,110.07,yes
656,8,no,200,82,33,27,3,pre-paid,active,30,274.08,yes
657,1,no,50,39,286,17,3,pre-paid,active,30,1227.76,yes
658,10,no,100,121,145,42,3,pre-paid,active,30,937.24,yes
659,4,no,100,169,1,43,3,pre-paid,active,30,549.48,yes
660,4,no,400,83,3,24,3,pre-paid,active,30,183.72,yes
661,3,no,50,95,8,11,3,pre-paid,active,30,260.32,yes
662,6,no,100,54,9,16,3,pre-paid,not-active,30,115.48,yes
663,22,no,200,225,55,31,3,pre-paid,active,30,822.4,yes
664,1,no,100,27,484,7,3,pre-paid,active,30,2048.68,yes
665,6,no,100,182,151,29,2,pre-paid,active,25,1370.79,yes
666,0,no,200,86,187,25,3,pre-paid,active,30,999.24,yes
667,0,no,50,14,1,10,2,pre-paid,not-active,25,30.78,yes
668,0,no,100,14,14,7,3,pre-paid,not-active,30,72.76,yes
669,0,no,50,0,1,0,2,pre-paid,not-active,25,4.5,no
670,0,no,400,127,385,42,3,pre-paid,active,30,1833.2,yes
671,4,no,100,154,12,46,4,pre-paid,active,45,312.85,yes
672,5,no,100,75,109,36,2,pre-paid,active,25,782.46,yes
673,20,no,200,47,17,16,3,pre-paid,not-active,30,95.88,no
674,18,no,100,93,2,41,5,pre-paid,active,55,156.345,yes
675,10,no,50,98,27,23,2,pre-paid,active,25,373.995,no
676,0,no,100,22,1,13,3,pre-paid,active,30,106.28,yes
677,6,yes,100,41,10,15,3,pre-paid,not-active,30,149.04,no
678,6,no,100,44,35,30,3,pre-paid,not-active,30,220.28,no
679,0,no,100,0,1,0,3,pre-paid,not-active,30,4,no
680,0,no,400,25,1,5,4,pre-paid,active,45,37.2,yes
681,0,no,50,97,15,21,5,pre-paid,active,55,121.155,yes
682,0,no,100,7,10,3,4,pre-paid,not-active,45,33.25,no
683,0,no,200,4,5,1,5,pre-paid,active,55,8.055,yes
684,22,no,100,238,1,79,2,pre-paid,active,25,724.86,yes
685,3,no,50,116,272,32,2,post-paid,active,25,1528.92,yes
686,0,no,200,82,3,27,3,pre-paid,active,30,151.8,yes
687,0,no,100,44,39,19,3,pre-paid,not-active,30,212.16,yes
688,3,no,100,53,176,22,2,pre-paid,active,25,905.76,yes
689,1,no,100,36,194,10,2,post-paid,active,25,920.07,yes
690,1,no,400,39,31,67,4,pre-paid,active,45,110.05,yes
691,8,no,100,25,11,6,3,pre-paid,not-active,30,60.8,yes
692,0,no,100,10,22,2,4,pre-paid,not-active,45,68.25,yes
693,7,no,200,32,20,12,2,pre-paid,active,25,132.84,yes
694,0,no,100,61,9,22,3,pre-paid,active,30,155.24,yes
695,0,no,50,26,29,13,2,pre-paid,active,25,194.22,yes
696,13,no,200,141,86,41,2,post-paid,active,25,667.26,yes
697,9,no,100,171,74,39,5,pre-paid,active,55,242.97,yes
698,5,no,100,45,32,18,3,pre-paid,active,30,231.68,yes
699,0,no,100,40,216,9,3,pre-paid,active,30,1029,yes
700,0,no,400,19,1,6,3,pre-paid,active,30,52.04,no
701,9,no,20,76,23,15,2,pre-paid,active,25,321.795,yes
702,1,no,50,10,8,2,2,pre-paid,not-active,25,68.985,yes
703,11,no,200,65,360,22,2,pre-paid,active,25,1751.535,yes
704,11,no,100,71,2,33,1,pre-paid,active,15,268.07,yes
705,4,no,100,63,3,31,1,pre-paid,active,15,173.855,yes
706,12,no,100,87,33,26,3,pre-paid,active,30,302.68,yes
707,5,no,50,44,286,16,3,pre-paid,active,30,1256.36,yes
708,14,no,50,126,145,41,3,pre-paid,active,30,965.84,yes
709,8,no,100,174,1,42,3,pre-paid,active,30,578.08,yes
710,8,no,400,88,3,23,3,pre-paid,active,30,212.32,yes
711,7,no,20,100,8,10,2,pre-paid,active,25,325.035,yes
712,10,no,100,59,9,15,3,pre-paid,not-active,30,144.08,yes
713,26,yes,200,230,55,30,3,pre-paid,active,30,851,yes
714,5,no,100,32,484,6,3,pre-paid,active,30,2077.28,yes
715,10,no,50,187,151,28,2,pre-paid,active,25,1402.965,yes
716,4,no,100,91,187,24,3,pre-paid,active,30,1027.84,yes
717,1,no,100,19,1,9,2,pre-paid,not-active,25,62.955,yes
718,3,no,100,19,14,6,2,pre-paid,not-active,25,114.03,yes
719,0,no,100,0,1,0,2,pre-paid,not-active,25,4.5,no
720,4,no,400,132,385,41,2,pre-paid,active,25,2094.525,yes
721,8,no,100,159,12,45,3,pre-paid,active,30,529.16,yes
722,9,no,50,80,109,35,2,pre-paid,active,25,814.635,yes
723,24,no,200,52,17,15,2,pre-paid,not-active,25,140.04,no
724,22,no,100,98,2,40,4,pre-paid,active,45,278.45,yes
725,14,no,100,103,27,22,2,pre-paid,active,25,406.17,yes
726,2,no,200,27,1,12,3,pre-paid,active,30,134.88,yes
727,10,no,50,46,10,14,3,pre-paid,not-active,30,177.64,no
728,10,yes,100,49,35,29,3,pre-paid,not-active,30,248.88,no
729,1,no,100,7,1,1,3,pre-paid,not-active,30,25.8,no
730,2,no,400,30,1,4,3,pre-paid,active,30,88.12,yes
731,4,no,20,102,15,20,4,pre-paid,active,45,219.8,yes
732,1,no,50,12,10,2,4,pre-paid,not-active,45,51.125,no
733,1,no,200,9,5,1,5,pre-paid,active,55,18.78,yes
734,26,no,100,243,1,78,2,pre-paid,active,25,757.035,yes
735,7,no,100,121,272,31,2,post-paid,active,25,1561.095,yes
736,3,no,200,87,3,26,2,pre-paid,active,25,202.95,yes
737,4,no,100,49,39,18,3,pre-paid,not-active,30,240.76,yes
738,7,no,50,58,176,21,2,pre-paid,active,25,937.935,yes
739,5,no,50,41,194,9,2,post-paid,active,25,952.245,yes
740,5,no,400,44,31,66,4,pre-paid,active,45,127.925,yes
741,12,no,50,30,11,5,2,pre-paid,not-active,25,100.575,yes
742,1,no,50,15,22,1,4,pre-paid,not-active,45,86.125,yes
743,11,no,200,37,20,11,2,pre-paid,active,25,165.015,yes
744,3,no,100,66,9,21,3,pre-paid,active,30,183.84,yes
745,3,no,100,31,29,12,2,pre-paid,active,25,226.395,yes
746,17,no,200,146,86,40,1,post-paid,active,15,854.865,yes
747,13,no,100,176,74,38,4,pre-paid,active,45,422.825,yes
748,9,no,100,50,32,17,3,pre-paid,active,30,260.28,yes
749,3,no,100,45,216,8,3,pre-paid,active,30,1057.6,yes
750,4,no,400,24,1,5,3,pre-paid,active,30,80.64,no
751,0,no,20,54,0,15,2,pre-paid,active,25,153.405,yes
752,0,no,100,0,0,0,2,pre-paid,not-active,25,0,yes
753,0,no,200,43,327,22,2,pre-paid,active,25,1538.145,yes
754,0,no,100,49,0,33,1,pre-paid,active,15,177.76,yes
755,0,no,20,41,0,31,1,pre-paid,active,15,78.045,yes
756,0,no,200,65,0,26,2,pre-paid,active,25,127.125,yes
757,0,no,50,22,253,16,3,pre-paid,active,30,1066.68,yes
758,2,no,100,104,112,41,3,pre-paid,active,30,776.16,yes
759,0,no,100,152,0,42,3,pre-paid,active,30,516.4,yes
760,0,no,400,66,0,23,3,pre-paid,active,30,142.64,yes
761,0,no,20,78,0,10,2,pre-paid,active,25,224.145,yes
762,0,no,50,37,0,15,3,pre-paid,not-active,30,50.4,yes
763,14,no,200,208,22,30,2,pre-paid,active,25,743.985,yes
764,0,no,100,10,451,6,3,pre-paid,active,30,1887.6,yes
765,0,no,50,165,118,28,2,pre-paid,active,25,1189.575,yes
766,0,no,200,69,154,24,3,pre-paid,active,30,838.16,yes
767,0,no,100,0,0,0,2,pre-paid,not-active,25,0,yes
768,0,no,100,0,0,0,2,pre-paid,not-active,25,0,yes
769,0,no,50,0,0,0,2,pre-paid,not-active,25,0,no
770,0,no,400,110,352,41,2,pre-paid,active,25,1881.135,yes
771,0,no,20,137,0,45,3,pre-paid,active,30,423.48,yes
772,0,no,100,58,76,35,2,pre-paid,active,25,601.245,yes
773,0,yes,200,0,0,0,2,pre-paid,not-active,25,0,no
774,10,no,100,76,0,40,4,pre-paid,active,45,237.4,yes
775,2,yes,50,81,0,22,2,pre-paid,active,25,219.78,no
776,0,no,200,5,0,12,3,pre-paid,active,30,73.2,yes
777,0,no,100,24,0,14,2,pre-paid,not-active,25,89.955,no
778,0,no,100,27,2,29,3,pre-paid,not-active,30,59.2,no
779,0,yes,100,0,0,0,2,pre-paid,not-active,25,0,no
780,0,no,400,8,0,4,3,pre-paid,active,30,26.44,yes
781,0,no,50,80,0,20,4,pre-paid,active,45,146.25,yes
782,0,no,100,0,0,0,3,pre-paid,not-active,30,0,no
783,0,no,200,0,0,0,4,pre-paid,active,45,0,yes
784,14,no,100,221,0,78,2,pre-paid,active,25,687.645,yes
785,0,no,50,99,239,31,2,post-paid,active,25,1347.705,yes
786,0,no,100,65,0,26,2,pre-paid,active,25,124.56,yes
787,0,no,100,27,6,18,3,pre-paid,not-active,30,51.08,yes
788,0,no,100,36,143,21,2,pre-paid,active,25,724.545,yes
789,0,no,50,19,161,9,2,post-paid,active,25,738.855,yes
790,0,no,400,22,0,66,4,pre-paid,active,45,14.375,yes
791,0,no,50,0,0,0,2,pre-paid,not-active,25,0,yes
792,0,no,50,0,0,0,4,pre-paid,not-active,45,0,yes
793,0,no,200,15,0,11,2,pre-paid,active,25,10.125,yes
794,0,no,100,44,0,21,3,pre-paid,active,30,90.16,yes
795,0,no,100,9,0,12,2,pre-paid,active,25,31.005,yes
796,5,no,100,124,53,40,1,post-paid,active,15,594.055,yes
797,1,no,50,154,41,38,4,pre-paid,active,45,304.275,yes
798,0,no,100,28,0,17,3,pre-paid,active,30,74.6,yes
799,0,no,100,23,183,8,3,pre-paid,active,30,867.92,yes
800,0,no,400,2,0,5,2,pre-paid,active,25,21.33,no
801,3,no,100,65,0,15,2,pre-paid,active,25,185.85,yes
802,0,no,50,0,0,0,2,pre-paid,not-active,25,0,yes
803,5,no,200,54,352,22,2,pre-paid,active,25,1683.09,yes
804,5,no,100,60,0,33,1,pre-paid,active,15,217.415,yes
805,0,no,50,52,0,31,1,pre-paid,active,15,117.7,yes
806,6,no,200,76,25,26,2,pre-paid,active,25,272.07,yes
807,0,no,50,33,278,16,3,pre-paid,active,30,1195.52,yes
808,8,no,100,115,137,41,3,pre-paid,active,30,905,yes
809,2,no,100,163,0,42,3,pre-paid,active,30,545.24,yes
810,2,no,400,77,0,23,3,pre-paid,active,30,171.48,yes
811,1,no,50,89,0,10,2,pre-paid,active,25,256.59,yes
812,4,no,100,48,1,15,3,pre-paid,not-active,30,83.24,yes
813,20,no,200,219,47,30,3,pre-paid,active,30,790.16,yes
814,0,no,100,21,476,6,3,pre-paid,active,30,2016.44,yes
815,4,no,20,176,143,28,2,pre-paid,active,25,1334.52,yes
816,0,no,100,80,179,24,3,pre-paid,active,30,967,yes
817,0,no,100,8,0,9,2,pre-paid,not-active,25,26.01,yes
818,0,no,100,8,6,6,2,pre-paid,not-active,25,45.585,yes
819,0,yes,100,0,0,0,2,pre-paid,not-active,25,0,no
820,0,no,400,121,377,41,2,pre-paid,active,25,2026.08,yes
821,2,no,20,148,4,45,3,pre-paid,active,30,468.32,yes
822,3,no,50,69,101,35,2,pre-paid,active,25,746.19,yes
823,18,no,200,41,9,15,2,pre-paid,not-active,25,71.595,no
824,16,no,100,87,0,40,4,pre-paid,active,45,255.425,yes
825,8,no,50,92,19,22,2,pre-paid,active,25,337.725,no
826,0,no,200,16,0,12,3,pre-paid,active,30,102.04,yes
827,4,no,100,35,2,14,2,pre-paid,not-active,25,131.4,no
828,4,yes,100,38,27,29,3,pre-paid,not-active,30,188.04,no
829,0,no,100,0,0,0,3,pre-paid,not-active,30,0,no
830,0,no,400,19,0,4,3,pre-paid,active,30,55.28,yes
831,0,no,50,91,7,20,4,pre-paid,active,45,181.775,yes
832,0,yes,100,1,2,2,4,pre-paid,not-active,45,13.1,no
833,0,no,200,0,0,0,5,pre-paid,active,55,0,yes
